doi,pub_date,num_files,num_bytes,total_downloads,num_relationships,subject
10.13012/B2IDB-6066174_V1,2019-02-02,1,24064,335,1,Life Sciences
10.13012/B2IDB-6679875_V1,2018-08-06,1,184695,447,12,Social Sciences
10.13012/B2IDB-1324977_V1,2018-08-16,1,15790,432,1,Life Sciences
10.13012/B2IDB-0852856_V2,2018-08-03,3,15074,594,1,Life Sciences
10.13012/B2IDB-1311182_V1,2018-08-02,1,40476,440,2,Life Sciences
10.13012/B2IDB-5075871_V1,2018-12-20,1,71702,280,0,Social Sciences
10.13012/B2IDB-3074701_V1,2018-10-24,5,78660,585,1,Life Sciences
10.13012/B2IDB-2087040_V1,2018-09-26,5,37798,718,0,Life Sciences
10.13012/B2IDB-9213932_V1,2018-10-03,24,46103905055,2620,1,Technology and Engineering
10.13012/B2IDB-8131709_V1,2018-10-05,1,656545,309,1,Life Sciences
10.13012/B2IDB-6701059_V1,2018-09-04,1,52825370,341,1,Social Sciences
10.13012/B2IDB-7869554_V1,2019-02-02,1,14788,278,1,Life Sciences
10.13012/B2IDB-6316661_V1,2018-12-12,1,443989510,170,0,Technology and Engineering
10.13012/B2IDB-1599850_V1,2019-09-05,1,408755115,297,0,Life Sciences
10.13012/B2IDB-6050723_V1,2020-09-14,1,499610,73,0,Life Sciences
10.13012/B2IDB-9729830_V2,2018-11-21,3,390716708,685,0,Life Sciences
10.13012/B2IDB-8518809_V1,2019-01-27,4,1576470031,972,0,Life Sciences
10.13012/B2IDB-8993673_V1,2018-12-04,2,2286380,406,1,Life Sciences
10.13012/B2IDB-1678505_V1,2019-02-07,10,2462012689,753,0,Life Sciences
10.13012/B2IDB-4710255_V1,2020-12-03,1,13691,125,0,Life Sciences
10.13012/B2IDB-1882247_V1,2018-10-17,5,1744036,717,1,Life Sciences
10.13012/B2IDB-9686195_V2,2018-12-20,1,39818,331,0,Technology and Engineering
10.13012/B2IDB-0790815_V2,2018-12-19,35,1583597165,3373,5,Life Sciences
10.13012/B2IDB-1932389_V1,2018-11-20,5,3468298173,796,4,Technology and Engineering
10.13012/B2IDB-0016089_V1,2019-07-18,3,39489,200,1,Life Sciences
10.13012/B2IDB-9837167_V1,2018-12-20,1,15596,267,0,Social Sciences
10.13012/B2IDB-8659314_V1,2018-12-20,1,4368,303,0,Social Sciences
10.13012/B2IDB-3993338_V1,2019-02-19,18,3229509,1676,1,Social Sciences
10.13012/B2-3044828_V1,2019-02-22,4,4953054277,583,2,Technology and Engineering
10.13012/B2IDB-9033534_V1,2019-03-06,11,334267,1170,1,Life Sciences
10.13012/B2-3125702_V1,2019-02-26,9,40149970567,1012,5,Life Sciences
10.13012/B2IDB-9119873_V1,2019-03-05,17,5186289,1118,1,Physical Sciences
10.13012/B2IDB-2865725_V2,2019-10-22,1,65508,238,1,Life Sciences
10.13012/B2IDB-9570561_V1,2019-03-19,10,739866776,778,2,Life Sciences
10.13012/B2IDB-9526770_V1,2021-10-15,1,2164700,83,0,Technology and Engineering
10.13012/B2IDB-2680911_V1,2020-04-06,2,60879,267,1,Life Sciences
10.13012/B2IDB-7539223_V1,2019-08-15,50,84506,2378,0,Life Sciences
10.13012/B2IDB-7478121_V2,2019-03-06,10,477326,750,1,Life Sciences
10.13012/B2IDB-2887291_V1,2019-03-13,1,63559,235,1,Life Sciences
10.13012/B2IDB-4905767_V1,2019-10-23,86,43165053239,4570,1,Technology and Engineering
10.13012/B2IDB-6081052_V1,2021-05-10,3,8297393459,232,4,Physical Sciences
10.13012/B2IDB-9371397_V1,2020-04-07,2,231068,232,2,Life Sciences
10.13012/B2IDB-4520270_V1,2020-05-15,47,159450486861,1174,0,Social Sciences
10.13012/B2IDB-0887518_V1,2020-11-01,1,144117,151,1,Life Sciences
10.13012/B2IDB-0790815_V3,2019-03-25,42,1606379919,4489,6,Life Sciences
10.13012/B2IDB-2044905_V1,2019-03-22,12,933923079,858,3,Life Sciences
10.13012/B2IDB-4384362_V1,2019-03-19,3,5168389,486,1,Physical Sciences
10.13012/B2IDB-6858418_V2,2017-12-22,436,54371857,9376,1,Life Sciences
10.13012/B2IDB-9320144_V2,2018-03-01,13,23073728296,1773,4,Life Sciences
10.13012/B2IDB-3407079_V1,2019-05-08,1,63940,189,0,Life Sciences
10.13012/B2IDB-4693684_V2,2019-10-22,1,27390,195,1,Life Sciences
10.13012/B2IDB-3805242_V1.1,2019-06-13,2,402913,627,6,Social Sciences
10.13012/B2IDB-8972634_V1,2020-10-01,9,73288,258,0,Life Sciences
10.13012/B2IDB-6186460_V1,2021-10-15,1,2066070,77,0,Technology and Engineering
10.13012/B2IDB-9223847_V1,2019-06-22,2,4275,331,3,Life Sciences
10.13012/B2IDB-9851670_V1,2020-08-31,3,890604672,220,1,Life Sciences
10.13012/B2IDB-0016089_V2,2019-07-26,4,10168,486,1,Life Sciences
10.13012/B2IDB-5437353_V1,2018-03-01,2,1758883,604,2,Life Sciences
10.13012/B2IDB-5893373_V1,2020-01-28,2,29155,236,1,Life Sciences
10.13012/B2IDB-5333299_V1,2019-08-29,1,16362343,223,1,Life Sciences
10.13012/B2IDB-8020612_V1,2019-07-08,5,42940163225,414,0,Social Sciences
10.13012/B2IDB-0598724_V1,2018-06-20,3,5146819357,562,1,Physical Sciences
10.13012/B2IDB-5958960_V1,2018-12-20,1,1560829,216,0,Social Sciences
10.13012/B2IDB-5958960_V2,2019-04-05,1,1560829,284,0,Social Sciences
10.13012/B2IDB-1530363_V1,2019-06-12,8,2620790376,787,1,Life Sciences
10.13012/B2IDB-1401121_V1,2019-07-11,5,133483,687,1,Life Sciences
10.13012/B2IDB-4447017_V1,2019-06-03,4,537586205,640,0,Life Sciences
10.13012/B2IDB-0569467_V1,2018-11-19,22,8066832135,1588,0,Life Sciences
10.13012/B2IDB-1747658_V1,2019-07-29,4,148614584,410,3,Life Sciences
10.13012/B2IDB-4817808_V1,2018-09-06,3,32748005,661,4,Social Sciences
10.13012/B2IDB-9733959_V1,2019-05-31,4,3087876,474,1,Life Sciences
10.13012/B2IDB-6858418_V1,2017-06-28,434,59158083,14990,0,Life Sciences
10.13012/B2IDB-3285089_V1,2019-05-08,1,142059,188,0,Life Sciences
10.13012/B2IDB-2501832_V1,2019-08-30,3,104026,316,1,Life Sciences
10.13012/B2IDB-3482175_V1,2020-04-22,4,483745,224,0,Life Sciences
10.13012/B2IDB-4623305_V1,2019-05-08,1,2058279,516,0,Life Sciences
10.13012/B2IDB-6773581_V1,2019-05-08,1,8277179,486,0,Life Sciences
10.13012/B2IDB-1424746_V1,2018-07-29,37,25093703933,3574,1,Life Sciences
10.13012/B2IDB-4085385_V1,2019-05-01,10,14033273877,664,2,Physical Sciences
10.13012/B2IDB-9891298_V1,2020-04-22,3,847258,250,1,Social Sciences
10.13012/B2IDB-5372808_V1,2019-05-16,6,69239,551,1,Life Sciences
10.13012/B2IDB-3352362_V1,2019-05-10,1,235924883,250,0,Life Sciences
10.13012/B2IDB-3292716_V1,2019-05-07,4,33283,403,0,Life Sciences
10.13012/B2IDB-0440388_V1,2019-12-03,1,116013937,232,1,Life Sciences
10.13012/B2IDB-9721455_V1,2019-07-04,1,208761,275,1,Life Sciences
10.13012/B2IDB-0757799_V1,2020-02-12,4,39679853,404,4,Social Sciences
10.13012/B2IDB-5952573_V1,2020-01-20,11,549262280380,619,3,Physical Sciences
10.13012/B2IDB-4551278_V1,2019-07-08,13,51115981389,861,0,Social Sciences
10.13012/B2IDB-4004605_V1,2020-07-15,11,273793203,339,0,Life Sciences
10.13012/B2IDB-1461292_V1,2019-08-05,26,576183659,1297,1,Life Sciences
10.13012/B2IDB-0569467_V2,2019-05-16,23,8067670104,1945,2,Life Sciences
10.13012/B2IDB-8512100_V1,2019-07-08,3,80462,415,1,Life Sciences
10.13012/B2IDB-0779814_V1,2019-05-20,4,9810439052,322,0,Physical Sciences
10.13012/B2IDB-6862941_V1,2019-06-05,33,7349085752,1646,1,Life Sciences
10.13012/B2IDB-0214000_V1,2019-05-22,8,21244133176,644,0,Physical Sciences
10.13012/B2IDB-9797270_V1,2019-08-13,7,1809636,523,1,Life Sciences
10.13012/B2IDB-9734610_V1,2019-07-04,1,2780803,223,0,Life Sciences
10.13012/B2IDB-8967648_V1,2021-10-27,1,303858787,92,1,Life Sciences
10.13012/B2IDB-7784896_V1,2019-12-03,1,159584754,239,0,Life Sciences
10.13012/B2IDB-2211060_V1,2019-12-10,17,366434,700,1,Life Sciences
10.13012/B2IDB-2712449_V1,2019-10-15,2,15515310,315,2,Life Sciences
10.13012/B2IDB-7540359_V1,2019-10-18,2,289467,276,0,Life Sciences
10.13012/B2IDB-2774261_V1,2020-06-26,11,303265420807,367,2,Physical Sciences
10.13012/B2IDB-6925722_V1,2020-06-06,6,62190,326,1,Life Sciences
10.13012/B2IDB-9822674_V1,2019-10-16,4,247155,387,0,Social Sciences
10.13012/B2IDB-4021786_V1,2019-10-03,1,44847619,252,2,Life Sciences
10.13012/B2IDB-3671567_V1,2019-10-27,22,226822986016,1829,0,Technology and Engineering
10.13012/B2IDB-9614170_V1,2019-11-12,5,25893353,453,1,Social Sciences
10.13012/B2IDB-1094364_V1,2019-09-17,4,13847122416,384,4,Social Sciences
10.13012/B2IDB-0934773_V1,2019-09-17,81,293567582603,1855,4,Social Sciences
10.13012/B2IDB-5721322_V1,2019-11-11,33,2875420032,1667,0,Life Sciences
10.13012/B2IDB-2128477_V1,2019-09-17,16,2883560600,771,1,Life Sciences
10.13012/B2IDB-7090706_V1,2019-09-25,6,4606640136,501,0,Physical Sciences
10.13012/B2IDB-7364919_V1,2020-07-01,1,13511191048,154,0,Technology and Engineering
10.13012/B2IDB-1917934_V1,2019-09-17,39,105266921834,1787,4,Social Sciences
10.13012/B2IDB-2626814_V1,2019-11-11,13,542016971,889,0,Life Sciences
10.13012/B2IDB-9401259_V1,2019-11-18,2,1653243111,299,0,Life Sciences
10.13012/B2IDB-4050038_V1,2021-05-21,5,8962131076,147,0,Life Sciences
10.13012/B2IDB-7017235_V1,2020-02-01,6,472724,358,2,Life Sciences
10.13012/B2IDB-6382488_V1,2020-06-01,1,36512,225,1,Life Sciences
10.13012/B2IDB-0946028_V1,2020-01-08,1,608695,176,1,Life Sciences
10.13012/B2IDB-5961181_V1,2020-05-18,2,572686,0,1,Social Sciences
10.13012/B2IDB-7439710_V1,2019-09-01,109,1904704174,3235,0,Technology and Engineering
10.13012/B2IDB-6216881_V1,2019-10-19,2,9283052703,487,4,Technology and Engineering
10.13012/B2IDB-8150563_V1,2020-02-23,2,146250,354,8,Social Sciences
10.13012/B2IDB-0095812_V1,2020-08-25,8,6125556726,232,0,Life Sciences
10.13012/B2IDB-7202559_V1,2020-04-02,2,114116,232,1,Life Sciences
10.13012/B2IDB-3573054_V1,2020-06-02,2,426008,247,1,Life Sciences
10.13012/B2IDB-4584681_V1,2019-12-10,13,8054429188,1537,1,Life Sciences
10.13012/B2IDB-2432396_V1,2020-09-27,1,16120,160,1,Life Sciences
10.13012/B2IDB-9720784_V1,2020-12-01,1,24073,125,1,Life Sciences
10.13012/B2IDB-4996748_V1,2021-10-15,1,5787407,76,3,Life Sciences
10.13012/B2IDB-5961181_V2,2020-05-20,2,564291,225,1,Social Sciences
10.13012/B2IDB-2921318_V1,2019-10-05,4,149889692105,703,2,Technology and Engineering
10.13012/B2IDB-9453481_V1,2019-12-20,48,1521499092,2632,0,Life Sciences
10.13012/B2IDB-7865141_V1,2022-12-07,3,830782,0,7,Life Sciences
10.13012/B2IDB-1408573_V1,2020-02-12,1,121601199,201,0,Social Sciences
10.13012/B2IDB-4860767_V1,2019-12-12,327,1756006444,2872,0,Physical Sciences
10.13012/B2IDB-0012086_V1,2020-03-08,2,464687,230,1,Social Sciences
10.13012/B2IDB-3686727_V1,2019-12-17,3,68676,328,0,Physical Sciences
10.13012/B2IDB-7128075_V1,2020-02-12,3,5026854,354,0,Life Sciences
10.13012/B2IDB-1255710_V1,2020-08-01,4,2774291,200,0,Physical Sciences
10.13012/B2IDB-6257171_V1,2020-08-01,90,2119991387,903,0,Physical Sciences
10.13012/B2IDB-2626814_V2,2020-01-22,13,542003716,601,1,Life Sciences
