doi,pub_date,num_files,num_bytes,total_downloads,num_relationships,subject
10.13012/B2IDB-2211060_V2,3/13/2020,18,9951386,650,1,Life Sciences
10.13012/B2IDB-0012086_V1,3/8/2020,2,464687,178,1,Social Sciences
10.13012/B2IDB-1403534_V2,3/3/2020,6,876576,675,7,Social Sciences
10.13012/B2IDB-0490928_V1,2/27/2020,1,27899233,160,3,Life Sciences
10.13012/B2IDB-8150563_V1,2/23/2020,2,146250,310,8,Social Sciences
10.13012/B2IDB-3331845_V1,2/23/2020,2,209084,248,6,Social Sciences
10.13012/B2IDB-0757799_V1,2/12/2020,4,39679853,340,4,Social Sciences
10.13012/B2IDB-1408573_V1,2/12/2020,1,121601199,141,0,Social Sciences
10.13012/B2IDB-7128075_V1,2/12/2020,3,5026854,298,0,Life Sciences
10.13012/B2IDB-7290912_V1,2/5/2020,2,628154,231,0,Life Sciences
10.13012/B2IDB-7017235_V1,2/1/2020,6,472724,308,2,Life Sciences
10.13012/B2IDB-5152821_V1,1/31/2020,10,1313764,768,2,Life Sciences
10.13012/B2IDB-5893373_V1,1/28/2020,2,29155,182,1,Life Sciences
10.13012/B2IDB-7525764_V2,1/27/2020,13,100690397,829,2,Physical Sciences
10.13012/B2IDB-2626814_V2,1/22/2020,13,542003716,566,1,Life Sciences
10.13012/B2IDB-5952573_V1,1/20/2020,11,5.49E+11,563,3,Physical Sciences
10.13012/B2IDB-0946028_V1,1/8/2020,1,608695,142,1,Life Sciences
10.13012/B2IDB-8284108_V1,12/22/2019,2,7647,194,3,Social Sciences
10.13012/B2IDB-9453481_V1,12/20/2019,48,1521499092,2580,0,Life Sciences
10.13012/B2IDB-3686727_V1,12/17/2019,3,68676,278,0,Physical Sciences
10.13012/B2IDB-4860767_V1,12/12/2019,327,1756006444,2836,0,Physical Sciences
10.13012/B2IDB-2211060_V1,12/10/2019,17,366434,667,1,Life Sciences
10.13012/B2IDB-4584681_V1,12/10/2019,13,8054429188,1300,1,Life Sciences
10.13012/B2IDB-0647142_V2,12/10/2019,11,2085648436,1518,4,Social Sciences
10.13012/B2IDB-0440388_V1,12/3/2019,1,116013937,174,1,Life Sciences
10.13012/B2IDB-7784896_V1,12/3/2019,1,159584754,189,0,Life Sciences
10.13012/B2IDB-9401259_V1,11/18/2019,2,1653243111,242,0,Life Sciences
10.13012/B2IDB-9614170_V1,11/12/2019,5,25893353,403,1,Social Sciences
10.13012/B2IDB-5721322_V1,11/11/2019,33,2875420032,1610,0,Life Sciences
10.13012/B2IDB-2626814_V1,11/11/2019,13,542016971,855,0,Life Sciences
10.13012/B2IDB-1403534_V1,10/30/2019,4,535930,241,7,Social Sciences
10.13012/B2IDB-3671567_V1,10/27/2019,22,2.27E+11,1534,0,Technology and Engineering
10.13012/B2IDB-4905767_V1,10/23/2019,86,43165053239,4535,1,Technology and Engineering
10.13012/B2IDB-2865725_V2,10/22/2019,1,65508,197,1,Life Sciences
10.13012/B2IDB-4693684_V2,10/22/2019,1,27390,144,1,Life Sciences
10.13012/B2IDB-6216881_V1,10/19/2019,2,9283052703,392,4,Technology and Engineering
10.13012/B2IDB-7540359_V1,10/18/2019,2,289467,222,0,Life Sciences
10.13012/B2IDB-9822674_V1,10/16/2019,4,247155,340,0,Social Sciences
10.13012/B2IDB-2712449_V1,10/15/2019,2,15515310,261,2,Life Sciences
10.13012/B2IDB-2921318_V1,10/5/2019,4,1.50E+11,644,2,Technology and Engineering
10.13012/B2IDB-4021786_V1,10/3/2019,1,44847619,198,2,Life Sciences
10.13012/B2IDB-7090706_V1,9/25/2019,6,4606640136,447,0,Physical Sciences
10.13012/B2IDB-1094364_V1,9/17/2019,4,13847122416,324,4,Social Sciences
10.13012/B2IDB-0934773_V1,9/17/2019,81,2.94E+11,1834,4,Social Sciences
